lat,lon,local_sla_trend,class
37.74,-8.91,1.85,class_3
37.75,-8.92,2.52,class_4
37.76,-8.93,2.18,class_3
37.77,-8.94,1.86,class_3
37.77,-8.93,2.32,class_4
37.78,-8.94,2.12,class_3
37.89,-0.51,3.01,class_4
37.9,-0.52,3.18,class_4
37.9,-0.51,2.69,class_4
37.91,-0.53,1.09,class_3
37.91,-0.52,1.95,class_3
37.92,-0.53,1.36,class_3
37.93,-0.54,1.83,class_3
37.94,-0.55,2.0,class_3
37.94,-0.54,1.04,class_3
37.95,-0.55,1.77,class_3
37.96,-0.56,2.44,class_4
37.97,-0.57,0.47,class_3
37.97,-0.56,1.78,class_3
37.98,-0.57,1.49,class_3
37.99,-0.58,1.13,class_3
38.0,-0.58,0.84,class_3
38.1,26.17,2.62,class_4
38.11,26.17,3.08,class_4
38.11,26.18,2.47,class_4
38.12,13.5,2.05,class_3
38.12,13.51,1.21,class_3
38.12,26.18,2.33,class_4
38.12,26.19,2.3,class_4
38.13,13.5,1.95,class_3
38.13,26.19,2.3,class_4
38.14,13.49,2.8,class_4
38.14,13.5,2.03,class_3
38.14,26.19,3.23,class_4
38.14,26.2,2.4,class_4
38.15,13.49,1.86,class_3
38.15,26.2,2.18,class_3
38.15,26.21,2.86,class_4
38.16,13.48,1.39,class_3
38.16,26.21,2.83,class_4
38.17,13.47,1.0,class_3
38.17,13.48,0.61,class_3
38.17,26.21,3.91,class_4
38.17,26.22,2.84,class_4
38.18,13.47,1.99,class_3
38.18,26.22,2.99,class_4
38.18,26.23,2.08,class_3
38.19,13.46,2.09,class_3
38.19,26.23,2.3,class_4
38.2,13.45,2.79,class_4
38.2,13.46,2.93,class_4
38.2,26.23,2.24,class_3
